Time window,Label,Gx: Average,Gy: Average,Gz: Average,Ax: Average,Ay: Average,Az: Average,Gx: Standard deviation,Gy: Standard deviation,Gz: Standard deviation,Ax: Standard deviation,Ay: Standard deviation,Az: Standard deviation
4:46:08 PM,Eat,-32.1376,1178.339,329.3394,11148.34,-5621.02,-7607.69,863.8377,1772.509,830.0633,962.1097,558.2429,529.4696
4:46:09 PM,Eat,27.13514,-595.279,42.22523,11184.75,-5726.94,-7554.86,1375.549,1944.596,934.8198,902.7351,974.415,960.423
4:46:10 PM,Eat,455.5268,-271.714,149.8393,11437.73,-6413.04,-6707.31,1349.78,2301.728,784.027,816.8305,881.3214,779.1999
4:46:11 PM,Eat,125,128.4234,201.2252,11531.87,-6622.73,-6493.92,1080.697,1592.215,467.7086,658.3625,938.3876,549.2367
4:46:12 PM,Eat,-63.9204,-64.5487,-11.9292,11515.86,-6716.11,-6370.91,935.6827,1600.063,567.7672,807.7772,877.646,642.1037
4:46:13 PM,Eat,-237.766,77.74775,-45.1441,11385.45,-6237.86,-6856.59,531.0887,1266.545,524.8403,517.2838,395.5579,449.0542
4:46:14 PM,Eat,38.86607,-174.536,155.4911,11224.8,-6479.04,-6961.19,578.9636,1067.541,631.3457,546.7487,392.0626,474.6528
4:46:15 PM,Eat,85.90991,-118.27,-57.0631,11313.42,-6514.08,-6853.77,961.1162,1472.794,596.0019,810.7397,515.1801,404.3357
4:46:16 PM,Eat,425.211,561.4128,397.9358,11400.8,-6499.26,-6783.67,895.417,1107.361,502.3189,629.5537,445.3877,491.9676
4:47:58 PM,Eat,222.4886,402.2614,19.5,11794.1,-574.5,-8523.94,376.4991183,643.1048876,274.3076551,376.3627817,281.1845633,263.6214352
4:47:59 PM,Eat,-96.6228,593.7105,274.8684,11726.59,100.4035,-8505.82,609.3923477,624.6906452,218.5466684,339.0375971,274.4245377,243.4907847
4:48:00 PM,Eat,111.1009,75.07339,125.4862,11782.54,236.156,-8427.66,326.49349,382.506783,187.3960262,208.6139236,208.4095049,218.1673338
4:48:01 PM,Eat,-44.614,369.0614,-46.2719,11727.35,541.0526,-8482.4,426.8063644,306.9568384,168.9492402,278.8031622,355.1562249,173.1834016
