Time window,Label,Gx: Average,Gy: Average,Gz: Average,Ax: Average,Ay: Average,Az: Average,Gx: Standard deviation,Gy: Standard deviation,Gz: Standard deviation,Ax: Standard deviation,Ay: Standard deviation,Az: Standard deviation,Gx.1:FFT,Gx.2:FFT,Gx.3:FFT,Gy.1:FFT,Gy.2:FFT,Gy.3:FFT,Gz.1:FFT,Gz.2:FFT,Gz.3:FFT,Ax.1:FFT,Ax.2:FFT,Ax.3:fft,Ay.1:FFT,Ay.2:FFT,Ay.3:FFT,Az.1:FFT,Az.2:FFT,Az.3:FFT
4:46:08 PM,Eat,-32.1376,1178.339,329.3394,11148.34,-5621.02,-7607.69,863.8377,1772.509,830.0633,962.1097,558.2429,529.4696,85.28,627.8613564,617.3067697,2526.56,1834.937508,743.1096549,6.91E+02,7.73E+02,3.58E+02,2.50E+04,3.86E+02,2.28E+02,1.69E+04,2.76E+02,3.98E+02,1.69E+04,2.76E+02,3.98E+02
4:46:09 PM,Eat,27.13514,-595.279,42.22523,11184.75,-5726.94,-7554.86,1375.549,1944.596,934.8198,902.7351,974.415,960.423,81.7,332.7232445,422.1626429,1608.72,343.5166786,1052.038665,32.92,289.6816905,467.1015157,2.50E+04,1.53E+02,1.28E+02,1.29E+04,4.76E+02,2.02E+02,1.69E+04,2.76E+02,3.98E+02
4:46:10 PM,Eat,455.5268,-271.714,149.8393,11437.73,-6413.04,-6707.31,1349.78,2301.728,784.027,816.8305,881.3214,779.1999,975.2,315.4402092,222.4796753,368.98,396.2323451,588.5692746,408.46,58.94521478,48.65835075,2.57E+04,2.68E+02,1.65E+02,1.44E+04,1.76E+02,5.22E+02,1.50E+04,5.27E+02,4.48E+02
4:46:11 PM,Eat,125,128.4234,201.2252,11531.87,-6622.73,-6493.92,1080.697,1592.215,467.7086,658.3625,938.3876,549.2367,232.2,786.2697123,751.6749448,293.38,373.2301137,489.575106,436,375.0135502,257.007808,2.59E+04,1.19E+02,2.29E+02,1.50E+04,2.71E+02,2.49E+02,1.46E+04,2.86E+02,8.71E+01
4:46:12 PM,Eat,-63.9204,-64.5487,-11.9292,11515.86,-6716.11,-6370.91,935.6827,1600.063,567.7672,807.7772,877.646,642.1037,115.18,395.8852877,708.4688584,98.66,305.195192,517.9038676,54.5,392.9580757,232.7137663,2.62E+04,2.47E+02,4.61E+02,1.50E+04,2.31E+02,1.66E+02,1.44E+04,1.45E+02,4.33E+02
4:46:13 PM,Eat,-237.766,77.74775,-45.1441,11385.45,-6237.86,-6856.59,531.0887,1266.545,524.8403,517.2838,395.5579,449.0542,492.7,122.6558873,267.9079219,184,746.3158809,783.0386635,1.26E+01,1.72E+02,3.39E+02,2.56E+04,1.03E+02,1.02E+02,1.41E+04,7.02E+01,1.77E+02,1.55E+04,3.68E+02,2.52E+02
4:46:14 PM,Eat,38.86607,-174.536,155.4911,11224.8,-6479.04,-6961.19,578.9636,1067.541,631.3457,546.7487,392.0626,474.6528,44.44,150.3796001,164.2582634,672.34,893.6738691,432.9187372,306.04,458.8284921,285.2611806,2.54E+04,2.06E+02,3.50E+02,1.47E+04,1.81E+02,7.10E+01,1.57E+04,1.37E+02,4.19E+02
4:46:15 PM,Eat,85.90991,-118.27,-57.0631,11313.42,-6514.08,-6853.77,961.1162,1472.794,596.0019,810.7397,515.1801,404.3357,277.58,220.8023206,415.2348461,1.11E+02,9.22E+02,6.59E+02,79.82,319.7531963,150.5223003,2.57E+04,3.34E+02,2.93E+02,1.46E+04,2.41E+02,1.32E+02,1.56E+04,7.63E+01,1.96E+02
4:46:16 PM,Eat,425.211,561.4128,397.9358,11400.8,-6499.26,-6783.67,895.417,1107.361,502.3189,629.5537,445.3877,491.9676,894.6,461.1477353,709.6500574,1188.58,697.8128744,366.5955693,797.5,408.2167381,129.9282847,2.25E+04,7.32E+01,3.78E+02,1.30E+04,1.81E+02,1.20E+02,1.34E+04,1.27E+02,7.96E+01
4:47:58 PM,Eat,222.4886,402.2614,19.5,11794.1,-574.5,-8523.94,376.4991183,643.1048876,274.3076551,376.3627817,281.1845633,263.6214352,61.08,511.6302966,431.244955,1303.74,885.6511951,128.9355135,159.24,254.2906953,28.44117721,2.65E+04,1.52E+02,1.08E+02,1098.8,416.1862943,183.1713265,1.92E+04,1.54E+02,7.57E+01
4:47:59 PM,Eat,-96.6228,593.7105,274.8684,11726.59,100.4035,-8505.82,609.3923477,624.6906452,218.5466684,339.0375971,274.4245377,243.4907847,263.66,491.0357435,177.5042904,671.18,747.0703073,218.3190933,518.38,237.4950888,170.6813654,2.62E+04,1.50E+02,1.90E+02,411.66,157.4361357,102.9588412,1.89E+04,1.13E+02,9.75E+01
4:48:00 PM,Eat,111.1009,75.07339,125.4862,11782.54,236.156,-8427.66,326.49349,382.506783,187.3960262,208.6139236,208.4095049,218.1673338,50.36,39.65236366,190.7179029,4.31E+02,1.10E+02,1.05E+02,312.04,189.2918735,28.8420634,2.64E+04,1.05E+02,1.02E+02,606.26,206.8719136,130.7118596,1.89E+04,8.37E+01,1.75E+02
4:48:01 PM,Eat,-44.614,369.0614,-46.2719,11727.35,541.0526,-8482.4,426.8063644,306.9568384,168.9492402,278.8031622,355.1562249,173.1834016,26.28,391.7180503,207.039192,612.46,268.3409919,222.8837869,102.92,183.4200832,33.09150547,2.65E+04,2.24E+02,4.08E+01,1386.68,371.849995,204.075771,1.92E+04,1.18E+02,1.01E+02
4:48:02 PM,Eat,103.8246,46.42982,16.79825,11734.32,921.0526,-8507.35,269.6152698,321.564042,141.7838427,177.1862924,209.5020579,130.4124826,252.16,261.2678536,124.8216573,39.72,355.0004263,28.31234619,16.68,44.06883033,103.7588843,2.65E+04,5.98E+01,3.55E+01,2202.06,96.7531168,78.6722654,1.91E+04,6.55E+01,3.16E+01
4:48:03 PM,Eat,89.65789,5.491228,83.9386,11747.23,1022.93,-8421.49,204.8095091,203.9385317,118.388014,117.9984277,224.4900108,120.8192716,143.36,144.3954471,99.73224489,76.76,88.69059431,56.94145254,158.3,62.9975227,51.90364653,2.65E+04,4.72E+01,4.87E+01,2.34E+03,1.65E+02,1.53E+02,1.91E+04,7.28E+01,9.55E+01
4:48:04 PM,Eat,74.29204,1.345133,41.18584,11754.52,1016.274,-8447.95,276.2233401,148.1624814,168.0491822,165.6744386,216.8608115,150.8120188,1.43E+02,1.87E+02,1.13E+02,113.82,144.3147038,49.94048556,167.62,178.4410002,95.29620022,2.66E+04,6.69E+01,1.22E+02,2.23E+03,1.71E+02,1.10E+02,1.91E+04,1.48E+02,6.84E+01
4:48:05 PM,Eat,66.32174,37.92174,89.25217,11784.19,945.7304,-8380.4,268.0954775,204.6049316,151.4934915,175.5387644,198.7591473,160.2679117,200.32,224.4517232,126.4183065,28.2,137.2699921,22.01590992,104.76,132.1549233,92.84001077,2.67E+04,7.04E+01,2.32E+01,2068.88,204.9282276,70.03298136,1.89E+04,1.32E+02,6.02E+01
4:48:06 PM,Eat,89.40909,20,51.16364,11832.32,913.2909,-8373.66,210.251326,186.7071003,137.5489589,151.7510595,210.6963703,110.7196043,123.24,128.3084148,128.0507131,70.16,98.27713892,101.6128219,146.2,83.47700411,93.35010033,2.34E+04,4.03E+01,4.17E+01,1.89E+03,1.61E+02,1.44E+02,1.65E+04,5.78E+01,6.99E+01
4:48:07 PM,Eat,-37.5,-116.875,63.375,11834.88,1080.125,-8274.88,37.08291867,88.51382055,54.55780028,42.38408563,169.7640695,53.74393654,1.67E+01,4.39E+02,4.22E+02,579.74,325.4096345,770.2340604,13.1,96.52143776,132.5582829,2.63E+04,3.55E+01,4.01E+02,1.64E+04,1.53E+02,3.06E+02,1.22E+04,1.81E+02,3.69E+01
4:49:47 PM,Eat,1575.333,-394.667,-8,11951.67,-7370,-5392,157.2969591,604.1194694,182.1071113,386.8246804,294.4486373,0,381.58,324.4789025,198.0671915,295.98,531.7555357,654.4933503,66.94,364.8201248,89.90939308,2.61E+04,1.67E+02,3.10E+02,1.59E+04,1.66E+02,2.25E+02,1.30E+04,2.24E+02,4.24E+02
4:49:48 PM,Eat,-41.125,-156.598,29.27679,11721.19,-7281.53,-5446.67,743.5671283,1684.570389,512.9278124,569.4066697,667.5117296,659.1277254,4.72E+02,1.29E+02,3.21E+02,800.62,92.57677496,315.4186162,423.1,353.6489038,134.0135095,2.61E+04,1.48E+02,4.27E+01,1.56E+04,1.17E+02,6.55E+01,1.32E+04,2.74E+02,1.48E+02
4:49:49 PM,Eat,-172.18,95.45946,-53.4414,11683.2,-7109.65,-5804.95,526.8036584,1546.30502,656.8626906,585.2535708,626.3314349,513.931396,373.7,194.7321745,235.8237209,332.46,377.0593689,359.2978359,403.8,270.1749083,144.4140535,2.58E+04,3.41E+02,2.72E+02,1.66E+04,1.51E+02,1.88E+02,1.33E+04,1.67E+02,3.80E+01
4:49:50 PM,Eat,197.8761,368.9912,205.2124,11620.76,-6981.58,-5890.44,581.3659582,1663.075268,619.8660491,638.9223946,526.6363907,607.3900097,174.18,263.8355706,261.8972197,10.2,459.886763,189.3628915,79.06,347.4261086,332.4823102,2.59E+04,1.78E+02,1.54E+02,1.63E+04,7.02E+01,2.16E+02,1.37E+04,1.51E+02,2.05E+02
4:49:51 PM,Eat,-173.018,-223.793,156.9279,11428.06,-7336.56,-5904.39,546.9558729,1490.988068,515.4550807,558.3311868,657.1688822,392.7829882,469.8,130.1409798,165.2539371,311.94,268.8747289,226.1265104,256.98,135.9993447,191.1259296,2.59E+04,1.18E+02,3.28E+01,1.64E+04,2.05E+02,9.05E+01,1.36E+04,7.68E+01,1.36E+02
4:49:52 PM,Eat,104.3894,29.95575,50.42478,11427.43,-7227.48,-6038.04,791.1906312,1887.831099,813.9181119,614.1489157,721.7131788,647.82653,250.16,512.9936574,418.1512917,704.74,864.6889164,130.9285273,356.68,856.7251015,276.7149801,2.57E+04,1.58E+02,4.89E+02,1.52E+04,1.34E+02,1.53E+02,1.46E+04,9.02E+01,3.12E+02
4:49:53 PM,Eat,-243.445,-180.145,-130.182,11449.22,-7257.19,-6030.99,667.1505695,1473.937047,698.03085,542.2860104,484.9668767,735.2501477,122.28,150.8888369,468.5125814,1039.5,88.93812651,211.9007666,64,249.3524819,370.9725969,2.59E+04,6.63E+01,1.65E+02,1.58E+04,2.96E+02,2.54E+02,1.43E+04,6.69E+01,4.38E+02
