Time window,Label,Ax: Average,Ay: Average,Az: Average,Ax: Standard deviation,Gy.3:FFT,Gy.1:FFT,Gy.2:FFT,Az: Standard deviation,Gx: Standard deviation,Gy: Standard deviation,Gy: Average,Gz: Average,Gx.3:FFT,Gz.1:FFT,Gz.2:FFT
4:46:08 PM,Eat,11148.34,-5621.02,-7607.69,962.1097,743.1096549,2526.56,1834.937508,529.4696,863.8377,1772.509,1178.339,329.3394,617.3067697,6.91E+02,7.73E+02
4:46:09 PM,Eat,11184.75,-5726.94,-7554.86,902.7351,1052.038665,1608.72,343.5166786,960.423,1375.549,1944.596,-595.279,42.22523,422.1626429,32.92,289.6816905
4:46:10 PM,Eat,11437.73,-6413.04,-6707.31,816.8305,588.5692746,368.98,396.2323451,779.1999,1349.78,2301.728,-271.714,149.8393,222.4796753,408.46,58.94521478
4:46:11 PM,Eat,11531.87,-6622.73,-6493.92,658.3625,489.575106,293.38,373.2301137,549.2367,1080.697,1592.215,128.4234,201.2252,751.6749448,436,375.0135502
4:46:12 PM,Eat,11515.86,-6716.11,-6370.91,807.7772,517.9038676,98.66,305.195192,642.1037,935.6827,1600.063,-64.5487,-11.9292,708.4688584,54.5,392.9580757
4:46:13 PM,Eat,11385.45,-6237.86,-6856.59,517.2838,783.0386635,184,746.3158809,449.0542,531.0887,1266.545,77.74775,-45.1441,267.9079219,1.26E+01,1.72E+02
4:46:14 PM,Eat,11224.8,-6479.04,-6961.19,546.7487,432.9187372,672.34,893.6738691,474.6528,578.9636,1067.541,-174.536,155.4911,164.2582634,306.04,458.8284921
4:46:15 PM,Eat,11313.42,-6514.08,-6853.77,810.7397,6.59E+02,1.11E+02,9.22E+02,404.3357,961.1162,1472.794,-118.27,-57.0631,415.2348461,79.82,319.7531963
4:46:16 PM,Eat,11400.8,-6499.26,-6783.67,629.5537,366.5955693,1188.58,697.8128744,491.9676,895.417,1107.361,561.4128,397.9358,709.6500574,797.5,408.2167381
4:47:58 PM,Eat,11794.1,-574.5,-8523.94,376.3627817,128.9355135,1303.74,885.6511951,263.6214352,376.4991183,643.1048876,402.2614,19.5,431.244955,159.24,254.2906953
4:47:59 PM,Eat,11726.59,100.4035,-8505.82,339.0375971,218.3190933,671.18,747.0703073,243.4907847,609.3923477,624.6906452,593.7105,274.8684,177.5042904,518.38,237.4950888
4:48:00 PM,Eat,11782.54,236.156,-8427.66,208.6139236,1.05E+02,4.31E+02,1.10E+02,218.1673338,326.49349,382.506783,75.07339,125.4862,190.7179029,312.04,189.2918735
4:48:01 PM,Eat,11727.35,541.0526,-8482.4,278.8031622,222.8837869,612.46,268.3409919,173.1834016,426.8063644,306.9568384,369.0614,-46.2719,207.039192,102.92,183.4200832
4:48:02 PM,Eat,11734.32,921.0526,-8507.35,177.1862924,28.31234619,39.72,355.0004263,130.4124826,269.6152698,321.564042,46.42982,16.79825,124.8216573,16.68,44.06883033
4:48:03 PM,Eat,11747.23,1022.93,-8421.49,117.9984277,56.94145254,76.76,88.69059431,120.8192716,204.8095091,203.9385317,5.491228,83.9386,99.73224489,158.3,62.9975227
4:48:04 PM,Eat,11754.52,1016.274,-8447.95,165.6744386,49.94048556,113.82,144.3147038,150.8120188,276.2233401,148.1624814,1.345133,41.18584,1.13E+02,167.62,178.4410002
4:48:05 PM,Eat,11784.19,945.7304,-8380.4,175.5387644,22.01590992,28.2,137.2699921,160.2679117,268.0954775,204.6049316,37.92174,89.25217,126.4183065,104.76,132.1549233
